Name,Comp_Class,Type
"(10aR,11R,12aR,25aR,25bS)-2,3,4,5,6,7,17,18,19,20,21,22-Dodecahydroxy-9,15,24,27-tetraoxo-9,10a,11,12a,13,15,24,25a,25b,27-decahydrodibenzo[g,i]dibenzo[6',7':8',9'][1,4]dioxecino[2',3':4,5]pyrano[3,2-
b][1,5]dioxacycloundecin-11-yl 2-{5-[({(11aR,13R,14R,15S,15aR)-2,3,4,5,6,7-hexahydroxy-9,17-dioxo-14,15-bis[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,
5]dioxacycloundecin-13-yl}oxy)carbonyl]-2,3-",ellagitannins,
"(11aR,13S,14R,15S,15aR)-2,3,4,5,6,7-Hexahydroxy-9,17-dioxo-14,15-bis[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecin-13-yl 3,4,5-trihydr
oxy-2-({(11aR,13S,14R,15S,15aR)-2,3,4,5,6-pentahydroxy-9,17-dioxo-13,14,15-tris[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecin-7-yl}oxy
)benzoate",ellagitannins,
"4-O-{3,4-Dihydroxy-5-[(3,4,5-trihydroxybenzoyl)oxy]benzoyl}-1,2,3,6-tetrakis-O-(3,4,5-trihydroxybenzoyl)-beta-D-glucopyranose",gallotannins,
"(2S,3R,4S,5R,6R)-3,4,5-tris(3,4,5-trihydroxybenzoyloxy)-6-[(3,4,5-trihydroxybenzoyloxy)methyl]oxan-2-yl 3,4,5-trihydroxybenzoate",galloylglucose,
"(2S,3R,4S,5S,6R)-4,5-dihydroxy-2-(3,4,5-trihydroxybenzoyloxy)-6-[(3,4,5-trihydroxybenzoyloxy)methyl]oxan-3-yl 3,4,5-trihydroxybenzoate",galloylglucose,
"[Similar to: 1,2,3,4-Tetrakis-O-(3,4,5-trihydroxybenzoyl)-β-D-glucopyranose; ΔMass: -0.0092 Da]",galloylglucose,
"[Similar to: 1,2,3,6-Tetra-O-galloyl-β-D-glucose; ΔMass: -346.0899 Da]",galloylglucose,
"[Similar to: 1,2,3,6-Tetra-O-galloyl-β-D-glucose; ΔMass: -347.9179 Da]",galloylglucose,
"[Similar to: 1,2,3,6-Tetra-O-galloyl-β-D-glucose; ΔMass: -348.0117 Da]",galloylglucose,
"[Similar to: 6-O-[(2E)-3-(4-Hydroxyphenyl)-2-propenoyl]-1-O-(3,4,5-trihydroxybenzoyl)hexopyranose; ΔMass: 174.0323 Da]",galloylglucose,G_lignin
"1-O,6-O-digalloyl-β-D-glucose",galloylglucose,
